com_num,name,sic_code
01816008,"""REALTY"" THE LONDON PROPERTY BROKERS LIMITED",68310
SC016876,"""RED BAND"" CHEMICAL COMPANY, LIMITED",47730
05179519,"""RICHARDSON & ASSOCIATES"" INDEPENDENT FINANCIAL AND MORTGAGE SERVICES LIMITED",64304
06122882,"""SHALYNN"" THE FRIENDLY CATTERY LTD",96090
00899832,"""SOMERSET COURT"" (HAMPTON) RESIDENTS ASSOCIATION LIMITED",98000
16588772,"""SRI LANKANS OVERSEAS"" GROUP: ACTION FOR THE NATION (SLOGAN) LTD",96090
05424123,"""ST MARY'S HEATH"" AT ARMTHORPE PROPERTY MANAGEMENT LIMITED",74990
05424123,"""ST MARY'S HEATH"" AT ARMTHORPE PROPERTY MANAGEMENT LIMITED",98000
02396957,"""ST. EDMUND'S HALL"" (MANAGEMENT COMPANY) KINGSBRIDGE LIMITED",82110
10561154,"""STEP13"" TRANSPORT LTD",82990
01636551,"""STREONSHALH"" WHITBY LIMITED",98000
00641164,"""SYLENTA"" PROPERTIES LIMITED",68100
00641164,"""SYLENTA"" PROPERTIES LIMITED",68209
02127973,"""THE BEECHES"" GUILDOWN LIMITED",98000
17237175,"""THE BELT AND ROAD"" EDUCATION INNOVATION AND DEVELOPMENT ALLIANCE LIMITED",85600
02408030,"""THE BRAMBLES"", LONGFIELD ROAD,PUDSEY LIMITED",98000
12504528,"""THE FANTASIST, THE FRAUDSTER & HIS LORDSHIP PUBLICATIONS"" LTD",58110
12504528,"""THE FANTASIST, THE FRAUDSTER & HIS LORDSHIP PUBLICATIONS"" LTD",59111
12504528,"""THE FANTASIST, THE FRAUDSTER & HIS LORDSHIP PUBLICATIONS"" LTD",90030
13784047,"""THE FIRST"" GALLERY LTD",47781
13784047,"""THE FIRST"" GALLERY LTD",47910
13784047,"""THE FIRST"" GALLERY LTD",58110
11125124,"""THE FOUR"" - CHILDRENS BOOKS LIMITED",47610
15789090,"""THE GALLERY FOOD NORWICH "" LTD",55201
15789090,"""THE GALLERY FOOD NORWICH "" LTD",56101
15789090,"""THE GALLERY FOOD NORWICH "" LTD",56102
15789090,"""THE GALLERY FOOD NORWICH "" LTD",56103
05180993,"""THE GROVE"" ELMCOURT ROAD LIMITED",68320
00784285,"""THE HEIGHTS"" (MANAGEMENT) NO. 1 LIMITED",98000
02306031,"""THE LARCHES"" MANAGEMENT COMPANY LIMITED",98000
02302474,"""THE LYNCH"" MANAGEMENT LIMITED",98000
13913408,"""TRAVEL CRUISER"" CONCESSIONAIRES HOLDINGS LIMITED",45190
01009135,"""TRAVEL CRUISER"" CONCESSIONAIRES LIMITED",45190
03790062,"""U.VAMP"" LTD.",32990
03790062,"""U.VAMP"" LTD.",82110
16238217,"""UNDERGROUND LIVESTOCK"" LTD",99999
12472200,"""V"" INSTALLATIONS HOLDINGS LIMITED",64209
10165199,"""V"" INSTALLATIONS LIMITED",99999
04372047,"""V"" INSTALLATIONS MECHANICAL HANDLING LIMITED",24520
04372047,"""V"" INSTALLATIONS MECHANICAL HANDLING LIMITED",82990
11413507,"""VICTOR - WHAT NOW!"" LIMITED",47190
11413507,"""VICTOR - WHAT NOW!"" LIMITED",68100
SC287325,"""WORLD TO ME"" LIMITED",46190
SC287325,"""WORLD TO ME"" LIMITED",47890
SC287325,"""WORLD TO ME"" LIMITED",47910
SC287325,"""WORLD TO ME"" LIMITED",47990
04656696,"""Y"" SALON LIMITED",96020
07390480,"""YES"" CAR RENTAL LTD",77110
07390512,"""YES"" VAN RENTAL LTD",77110
10395666,"""ZUZIA"" LIMITED",49410
08209885,$ LTD,99999
15092367,$ ZERO X LTD,62012
17152240,$$$ LIMITED,96090
09646807,$10 CHIMP LIMITED,70210
15884314,$AND PROPERTIES LTD,68209
09841468,$AVE LTD,99999
14362434,$MUG LIMITED,14190
14362434,$MUG LIMITED,46160
14362434,$MUG LIMITED,47820
14362434,$MUG LIMITED,47910
11091059,$PROCUREMENT LTD,46900
16281633,$PURR LTD,62090
12665505,$UGAR RU$H LTD,47190
12665505,$UGAR RU$H LTD,47710
12665505,$UGAR RU$H LTD,47990
13984698,$WERVE LTD,59200
13925097,& AGAIN CLOTHING LTD,47710
14624244,& ATKINS LIMITED,62020
14624244,& ATKINS LIMITED,62090
15762125,& BERRY LIMITED,82990
16628283,& BEYOND INSIGHTS LTD,71122
16628283,& BEYOND INSIGHTS LTD,72190
16628283,& BEYOND INSIGHTS LTD,74909
16628283,& BEYOND INSIGHTS LTD,82990
13315396,& CHAI LIMITED,47910
15295014,& CHILL LTD,46360
15295014,& CHILL LTD,46390
15295014,& CHILL LTD,56103
15295014,& CHILL LTD,56210
16814206,& COLLECTIVE LIMITED,73110
10715295,& COMPANY GROUP LTD,56101
14652281,& CONTINUE LTD,70210
15103868,& CULTURE LTD,70229
08684770,& DAUGHTER LIMITED,46160
17208672,& DAUGHTERS PROPERTY LTD,68209
15707252,& DECEMBER LTD,47910
13014456,& DIAMONDS LTD,46480
13014456,& DIAMONDS LTD,47770
15828682,& HALT BRIGHTON LIMITED,47789
13261308,& HALT LIMITED,47789
13261308,& HALT LIMITED,56102
11126054,& JOY STUDIO LTD,74100
13999081,& LASH LIMITED,60100
08697873,& NEW LIMITED,46470
14771011,& PLAY LTD,56210
14771011,& PLAY LTD,62012
14771011,& PLAY LTD,74100
14771011,& PLAY LTD,90030
16955876,& RAE LTD,74202
16955876,& RAE LTD,90030
15947090,& SALT LIMITED,47290
06508401,& SMITH LIMITED,90030
11563104,& SO... LTD,70210
10655307,& SON STUDIO LIMITED,59111
10709533,& THE NEW ... LTD,73120
11383732,& TOMORROW LIMITED,82990
16005271,& TONIC STUDIOS LTD,47190
16005271,& TONIC STUDIOS LTD,62012
16005271,& TONIC STUDIOS LTD,74100
16005271,& TONIC STUDIOS LTD,90030
16108798,& TRAVEL LTD,79110
16108798,& TRAVEL LTD,79909
14657587,& UN LIMITED,70229
16337755,& WE THRIVE LIMITED,73110
15940113,& WHAT CHESTER LIMITED,68209
07153865,&&& CREATIVE LIMITED,82990
04971465,&&& LIMITED,74100
12935215,&AD LIMITED,59120
15609041,&ADVISORY LTD,70229
07696247,&AGENCY LTD,73110
07083013,&APLACE LIMITED,68209
13563517,&ASIAN LTD,58190
14529850,&ASSETS LTD,68100
16352244,&ASTRID LTD.,73110
16640569,&BABY LIMITED,47910
12416633,&BAM LIMITED,47910
11380785,&BEYOND LIMITED,70229
15953465,&BEYOND STUDIO LTD,62012
16574552,&BLUE LTD,74909
10770530,&BREATHE FAMILY WELLBEING LIMITED,96040
13979577,&BREATHE PARTNERSHIP LTD,70229
13979577,&BREATHE PARTNERSHIP LTD,74909
13979577,&BREATHE PARTNERSHIP LTD,82990
13430540,&BROAD LIMITED,68100
13430540,&BROAD LIMITED,68201
13430540,&BROAD LIMITED,68209
13430540,&BROAD LIMITED,68320
14692988,&BROWHAUS LTD,96020
13931175,&BUILD LONDON LTD,41100
13931175,&BUILD LONDON LTD,41201
13931175,&BUILD LONDON LTD,41202
12585238,&BUILD LTD,41201
12585238,&BUILD LTD,41202
12585238,&BUILD LTD,74100
15387949,&C8 HOLDINGS LIMITED,87900
13487401,&CO TRADING LIMITED,82990
11330173,&COACH LIMITED,63990
16835236,&CONNECT LTD,63120
13144123,&CRYSTALS LTD,47910
06325879,&DAVE LIMITED,74100
14691088,&DEV CONSULTING LIMITED,62012
14691088,&DEV CONSULTING LIMITED,62020
14691088,&DEV CONSULTING LIMITED,62090
14684773,&DEV GROUP LIMITED,70229
11895018,&DEV LIMITED,62012
11895018,&DEV LIMITED,62020
11895018,&DEV LIMITED,62090
12713508,&DINE LTD,63120
15438057,&DNA LIMITED,96090
13773470,&E TECH LTD,62012
09996763,&EARTH LTD,47910
16508237,&ELTHORNE COURTS LTD,77210
16508237,&ELTHORNE COURTS LTD,85510
16508237,&ELTHORNE COURTS LTD,93120
09530554,&ENVIRONMENT LIMITED,74909
09216993,&EVE INTERIOR DESIGN LIMITED,47510
15236922,&FEAST LTD,56101
15514576,&FORM LIMITED,74100
17208694,&FRANKIE LTD,71111
17208694,&FRANKIE LTD,72200
17208694,&FRANKIE LTD,90030
13834625,&FRIENDS GLOBAL LTD,59111
13873404,&FRIENDS PAYROLL UK LTD,78109
14308142,&GO LIMITED,32300
17222605,&GO&CO LTD,70229
13082443,&HARLOW LIMITED,47910
SC688109,&I TECHNOLOGIES LTD,62012
SC688109,&I TECHNOLOGIES LTD,62090
SC688109,&I TECHNOLOGIES LTD,74909
SC688109,&I TECHNOLOGIES LTD,86900
12911325,&IFOOD LTD,56103
11000005,&INC LIMITED,74100
16514665,&INSIGHT LIMITED,70229
13718084,&IS GENTS HAIR LTD,96020
08005331,&JRMW LIMITED,96090
12804393,&KAREN HALL LTD,99999
11943499,&LKH LTD,56302
14617904,&LLOYD LTD,70229
12498226,&MATHER LTD,70229
12625805,&ME LIMITED,46450
12875287,&ME-ONLINE LIMITED,47710
15352430,&MEETINGS VENUES LIMITED,82990
16529197,&MERGE LIMITED,62012
16529197,&MERGE LIMITED,62090
16529197,&MERGE LIMITED,63110
16529197,&MERGE LIMITED,63990
16738783,&MIA LIMITED,47770
SC693176,&MORE DESIGN CONSULTANCY LTD.,74100
15999371,&MORTAR LTD,43999
13204299,&MOVE AGENTS LTD,68320
13830655,&OSTEO FITNESS LTD,93130
13830660,&OSTEO THERAPIES LTD,86900
09735329,&PARTNERS IT LTD,62090
16641999,&PERSAND HOLDINGS LTD,64209
16641999,&PERSAND HOLDINGS LTD,70229
16641999,&PERSAND HOLDINGS LTD,73110
14826279,&PIP LIMITED,74209
12539414,&POCA LTD,47110
14370234,&PRIESTLEY LTD,73110
17106883,&RM LTD,73110
16058410,&ROBIN SCIENCE LIMITED,82990
12628925,&SCAPE LTD,71112
12628925,&SCAPE LTD,81300
14694545,&SEVENTY LTD,96090
16987220,&SILVER LTD,32120
10510951,&SISTERS LTD,17220
10510951,&SISTERS LTD,47749
10510951,&SISTERS LTD,47750
10510951,&SISTERS LTD,47910
13609318,&SMILE TABLETS LIMITED,32500
16172495,&SOMETHING STUDIO LTD,74100
14963663,&SONS HOLDING COMPANY LIMITED,64209
09988464,&SONS TRADING COMPANY LIMITED,47710
09988464,&SONS TRADING COMPANY LIMITED,47721
15502008,&SONS USA TRADING COMPANY LIMITED,47710
15502008,&SONS USA TRADING COMPANY LIMITED,47721
16658365,&STENBALL DEVCON 1 (SHAWBURY) LIMITED,41100
14108726,&STENBALL LIMITED,41201
15100940,&SWEET LTD,10710
13963133,&TEON LIMITED,68209
13798522,&THEM LTD,99999
16213987,&THEN HOLDINGS LIMITED,64209
12970406,&THEN LONDON LTD,82990
16521498,&THRIVE LTD,86900
16395493,&TOGETHER ADVISORY LIMITED,64999
15289250,&TONIC AGENCY LTD,73110
05719459,&TUR LTD,74990
11599867,&U STUDIO LTD,71111
11599867,&U STUDIO LTD,74100
11599867,&U STUDIO LTD,90020
15013489,&UP LTD,71111
SC795191,&VOLUME LTD,62090
SC795191,&VOLUME LTD,72190
16604895,&WHY WEAR LTD,47910
07894293,&WILDER LIMITED,70210
16212604,&YAT SING LIMITED,56103
16438771,&YES PERFORM LTD,90010
16438771,&YES PERFORM LTD,90020
10325674,''DIMI K'' LTD,81299
14590431,"''LA VITA"" CONSTRUCTION LTD",41201
14590431,"''LA VITA"" CONSTRUCTION LTD",41202
00847998,'45 AID SOCIETY LIMITED,88990
03107220,'A & A' SELF-STORAGE LTD.,52103
SC157855,'A' FLIGHT AVIATION LIMITED,77351
04428328,'A' PLUS ACCOUNTANTS LIMITED,69201
07405600,'A' RATED EFFICIENCY HEATING & PLUMBING LTD,33190
06477864,'A' RECORDINGS LTD,90030
06449984,'A1' ARBORISTS LIMITED,02100
02571767,'ALL ABOARD' SHOPS LIMITED,88990
11867171,'ALLIANCE SOFTTECH LTD,62020
17100307,'AN ORDINARY MUM' - LA PRODUCTIONS LTD,59113
13771973,'ARAPUNA HEALTHCARE SERVICES LTD,87300
13771973,'ARAPUNA HEALTHCARE SERVICES LTD,87900
16430060,'ASPIRATIONS' INDEPENDENT SOCIAL WORK & TRAINING SERVICES LIMITED,88100
11366346,'AV IT MEDIA LIMITED,59112
11366346,'AV IT MEDIA LIMITED,74202
00984706,'AVE A BUTCHERS LIMITED,68209
15389575,'AVE IT MEDIA LTD,73120
05152381,'B' SAFE ELECTRICAL SERVICES LIMITED,43210
16638042,'BASICALLY PLANTS WILL SAVE US' LIMITED,46450
16638042,'BASICALLY PLANTS WILL SAVE US' LIMITED,70229
02767371,'BELL MOOR' 1 PORTARLINGTON ROAD MANAGEMENT COMPANY LIMITED,81100
09658601,'BIGLOC FILMS' LTD,59111
16225000,'BO DRINKS LTD,46341
16575763,'BODE & CO. SUPER CLEANING SERVICE LTD,96010
16071224,'BODYMATTERSMOTION' PHYSIOTHERAPY LTD,86900
16226013,'BRIAN PARKES PUBS LTD,56302
17100786,'BROKEN 2' - LA PRODUCTIONS LTD,59113
15333577,'BUILDING ENGINEERING TECHNICAL SERVICES LTD,71129
07835499,'BUILDING' INTEGRATED SERVICES LIMITED,41201
14211409,'BUSTLE IN YOUR HEDGEROW' LTD,02100
00559274,'C' PRODUCTS LIMITED,68209
11651868,'CBA DESIGN STUDIO LTD,43999
11651868,'CBA DESIGN STUDIO LTD,71111
11651868,'CBA DESIGN STUDIO LTD,71112
11651868,'CBA DESIGN STUDIO LTD,74100
08474973,'CENTRAL MANCHESTER OSTEOPATHY & SPORTS THERAPY LIMITED,96040
16230022,'DALLAS MEDIA LTD,62020
10985049,'DE NOVO' CARE LTD,87900
16927172,'EFES TURKISH FOOD LTD,56101
08027318,'ELC' ENGLISH COURSES LIMITED,85590
15809180,'ELLO BAGEL LTD,56102
11168742,'ENG PA' LIMITED,62012
11064518,'F' COFFEE ASHBOURNE LTD,56102
11327905,'FOREVER BODY COACHING’ LTD,70229
07538409,'GREEN ACRES' ST IVES MANAGEMENT COMPANY LIMITED,98000
11957800,'HERE TO HELP' PLATINUM SERVICES LTD,96090
04277104,'HIRE ONE' LIMITED,77390
07520428,'I SAY' SUPPORTED LIVING SERVICES LIMITED,96090
09009954,'I.C.C. DRIVE' LTD,53202
10043743,'IF THE GLOVE FITS' LIMITED,47990
09285861,'IN THE CHAIR' LTD,59111
09285861,'IN THE CHAIR' LTD,90030
09285861,'IN THE CHAIR' LTD,96020
12123939,'INAB LIMITED,47910
11379902,'INGINUITY' LIMITED,70100
10037888,'INSPIRE IGNITE' TALENT DEVELOPMENT LIMITED,70229
04650683,'J' FREIGHT ENTERPRISES LIMITED,49410
02369114,'J' FREIGHT INTERNATIONAL LIMITED,99999
01796543,'J' FREIGHT LIMITED,49410
14469724,'JUST THE TONIC' PROPERTIES LTD,55209
14469724,'JUST THE TONIC' PROPERTIES LTD,68209
14469724,'JUST THE TONIC' PROPERTIES LTD,70100
07456517,'K' BUILDERS (CONTRACTING) LTD,41202
05317581,'K' CONTRACTING (BUILDERS) LTD,41100
05317581,'K' CONTRACTING (BUILDERS) LTD,41202
05317581,'K' CONTRACTING (BUILDERS) LTD,68100
05317581,'K' CONTRACTING (BUILDERS) LTD,68209
16499636,'LOCKODE LTD,39000
16499636,'LOCKODE LTD,41100
16499636,'LOCKODE LTD,41202
16499636,'LOCKODE LTD,43130
14846709,'LUCK' KI LOVE STORY LTD,59111
12254238,'M' COAT LTD,71129
16765934,'N'CLOSED TRANSPORT LTD,49410
03352798,'NEARBUYS' CONVENIENCE STORES LTD,47110
10313284,'NEW LIFE' PROPERTY HUB LTD,68209
10312606,'NEW LIFE' PROPERTY MANAGEMENT GROUP LTD,68209
16453755,'NODE SYSTEMS LAMBDA LTD,74909
11562254,'NS+R UK' LIMITED,82990
13892343,'O VER FITZROVIA LTD,56101
16128148,'O VER LONDON BRIDGE LTD,56101
11644717,'O VER ST. JAMES LTD,56101
01664263,'O' CONNOR FENCING LIMITED,25990
SC234078,'ORGANZA' HAIR DESIGN LIMITED,96020
06239170,'OUT THERE' SUPPORTING FAMILIES OF PRISONERS LIMITED,88990
04763606,'PLANE TRAINING LIMITED,85590
08897154,'PO'ROPERTIES LTD,68209
02921121,'Q' ACCOUNTANCY SERVICES LIMITED,69201
13212574,'R' ACCOMMODATION LTD,55209
08222874,'R' BUDDY LIMITED,82990
17169188,'R' FROGLETS LTD,68100
10900255,'R'-ELP LTD.,81299
08560508,'RASE SOLUTIONS' LIMITED,62020
00398742,'ROYAL BLUE' TRANSPORT COMPANY LIMITED,52103
13887405,'SAVE OUR CAPABILITY BROWN HERITAGE WIMBLEDON PARK' LTD,63990
SC836901,'SCRIBBLE' ART PSYCHOTHERAPY LTD,96090
09552596,'SGWENNU LIMITED,90020
02277759,'SIGNALS' ESSEX MEDIA CENTRE LTD.,85520
02277759,'SIGNALS' ESSEX MEDIA CENTRE LTD.,90040
SC409169,'STEWART INTEGRATED SYSTEMS' LTD,33200
14506576,'STUTE FISH LIMITED,71122
16292580,'TECHNILIANCE LTD,62012
16292580,'TECHNILIANCE LTD,62020
