com_num,name,sic_code
08654447,17 OSPRINGE ROAD MANAGEMENT COMPANY LIMITED,98000
05995950,17 OSWIN STREET LIMITED,68209
07769060,17 OXFORD GROVE LIMITED,98000
01646175,17 PALACE COURT LIMITED,98000
05945445,17 PALACE GROVE BROMLEY LIMITED,98000
13530705,17 PARK CRESCENT (BRIGHTON) LIMITED,98000
09043365,17 PARK ROAD RICKMANSWORTH FREEHOLD COMPANY LIMITED,94990
06464697,17 PARK ROAD RICKMANSWORTH RTM COMPANY LIMITED,98000
04585350,17 PARK ROAD TUNBRIDGE WELLS LIMITED,68320
12057394,17 PARK SQUARE EAST LTD,41100
13076014,17 PARK STREET LIMITED,56301
03249270,17 PARKHILL ROAD LIMITED,98000
10346566,17 PARKSIDE MANAGEMENT LIMITED,98000
14943228,17 PASTON PLACE RIGHT TO MANAGE COMPANY LIMITED,98000
08908072,17 PATTERNS LTD,46410
08158393,17 PC STREET RTE LIMITED,98000
05467269,17 PEARMAN STREET LIMITED,98000
04129344,17 PEMBERTON GARDENS MANAGEMENT LIMITED,98000
12302736,17 PEMBRIDGE CRESCENT (FREEHOLD) LIMITED,68100
14174218,17 PEMBRIDGE SQUARE FREEHOLD LIMITED,98000
03639722,17 PEPYS ROAD (MANAGEMENT COMPANY) LIMITED,98000
06747615,17 PETERBOROUGH ROAD MANAGEMENT LIMITED,98000
07236054,17 PEVENSEY ROAD ST LEONARDS LIMITED,68209
01582910,17 PHILBEACH GARDENS LIMITED,68209
02218685,17 PIMLICO ROAD (MANAGEMENT) LIMITED,98000
16354865,17 PIXIE LANE MANAGEMENT COMPANY LIMITED,98000
04812813,17 PLUS DRIVING TUITION LIMITED,85530
SC830023,17 POINTS LIMITED,62020
SC830023,17 POINTS LIMITED,63110
SC830023,17 POINTS LIMITED,70229
SC830023,17 POINTS LIMITED,85600
05030428,17 POLWORTH ROAD LIMITED,68320
02299073,17 PORTLAND PLACE EAST MANAGEMENT COMPANY LIMITED,81100
05164847,17 PORTSMOUTH ROAD MANAGEMENT COMPANY LIMITED,98000
13130927,17 POWD LIMITED,98000
03433322,17 POWIS SQUARE LIMITED,98000
02534272,17 PRINCE ALBERT ROAD MANAGEMENT LIMITED,98000
03509952,17 PRINCE OF WALES TERRACE LIMITED,98000
11656725,17 PRIORY ROAD MANAGEMENT COMPANY LIMITED,68209
16150004,17 PRIORY TERRACE FREEHOLD LIMITED,98000
16806688,17 PRODUCTS LTD,47710
15349003,17 PROPERTY DEVELOPMENTS LTD,98000
08156263,17 QC (MV) LTD,68100
NI655962,17 QS MANAGEMENT COMPANY LTD,98000
13745913,17 QUAY LIMITED,68209
13804077,17 QUAY UK HOLDINGS LIMITED,68209
02420737,17 QUEEN'S GARDENS MANAGEMENT LIMITED,68209
06415628,17 QUEEN'S GATE TERRACE MANAGEMENT LIMITED,98000
03388659,17 QUEENS ROAD (TWICKENHAM) LIMITED,98000
01731507,17 QUEENSBOROUGH TERRACE MANAGEMENT LIMITED,98000
05696840,17 RAMSDEN ROAD MANAGEMENT COMPANY LIMITED,99999
04729899,17 RASTELL AVENUE LIMITED,68320
11317825,17 RAVINE ROAD FREEHOLD LIMITED,98000
15996798,17 RED LIMITED,66210
06733148,17 REDCLIFFE GARDENS RTM COMPANY LIMITED,98000
03626099,17 REDCLIFFE SQUARE LIMITED,98000
03268052,17 REDCLIFFE STREET MANAGEMENT LIMITED,98000
13752391,17 REGENT ST MANAGEMENT COMPANY LTD,98000
02250748,17 REGENT STREET (BRISTOL) MANAGEMENT COMPANY LIMITED,98000
07835989,17 REGINALD ROAD (BEXHILL) RTM COMPANY LIMITED,68100
01463158,17 RICHMOND HILL BRISTOL (MANAGEMENT) LIMITED,98000
07136377,17 ROCKLEY ROAD FREEHOLD COMPANY LIMITED,68320
13397388,17 ROLAND GARDENS (MANAGEMENT COMPANY ) LIMITED,98000
01734526,17 ROSARY GARDENS KENSINGTON LIMITED,55900
16220422,17 ROSEBURY ROAD LIMITED,98000
01600824,17 ROYAL PARK MANAGEMENT COMPANY LIMITED,98000
15861215,17 RR LIMITED,68100
15861215,17 RR LIMITED,68209
15861215,17 RR LIMITED,68320
14285153,17 RUSSELL ROAD MANAGEMENT COMPANY LIMITED,74990
14285153,17 RUSSELL ROAD MANAGEMENT COMPANY LIMITED,98000
15461236,17 RYE ROAD COMPANY LIMITED,98000
12673436,17 SACKVILLE ROAD FREEHOLD COMPANY LIMITED,98000
11783431,17 SAINT MAUR ROAD LIMITED,98000
05835872,17 SALISBURY ROAD SOUTHSEA LIMITED,99999
16291530,17 SALTRAM CRESCENT RTM COMPANY LIMITED,98000
11165611,17 SANTLEY STREET LIMITED,68100
11165611,17 SANTLEY STREET LIMITED,98000
06613538,17 SCOTSDALE CLOSE LIMITED,98000
SC649034,17 SEAS LTD,62011
07239521,17 SECOND AVENUE LIMITED,74990
08987861,17 SELDEN ROAD LIMITED,98000
16866459,17 SEVENTEEN DESIGN LTD,47910
13424072,17 SGR LIMITED,41100
16815844,17 SHADE LTD,64301
16815844,17 SHADE LTD,64306
16815844,17 SHADE LTD,96020
03829008,17 SHAWBURY ROAD SE 22 LIMITED,68209
15744763,17 SHERINGHAM LTD,98000
04117960,17 SHERRIFF ROAD (MANAGEMENT) LIMITED,98000
16677443,17 SHERWELL LANE LIMITED,98000
